epiweek,ndvi_mean,ndvi_std,ndbi_mean,ndbi_std,bu_mean,bu_std,ndwi_mean,ndwi_std,built_frac,ndvi_contrast,ndvi_homogeneity,ndvi_entropy,ndbi_contrast,ndbi_homogeneity,ndbi_entropy,DoU_cluster,DoU_label
201604,0.293219065023216,0.11579269671234553,-0.031146812374975366,0.12028362731786486,0.2695501853727259,0.08738835298164643,0.031146812374975366,0.12028362731786486,0.4505992461962391,320.4877915344234,0.12961189106018134,11.605506438977038,367.17611461151995,0.11984451747403824,12.202629516916518,0.03125,urban
201605,0.2600632780369502,0.0937303584861429,1.270929154763051e-06,0.09285455280232606,0.2631508383338994,0.06988286263779127,-1.270929154763051e-06,0.09285455280232606,0.5049927885378946,299.823187909568,0.13592495796333537,11.561165469677317,332.7309597980441,0.13274881166106453,12.072051663709379,0.125,urban
201606,0.28876603167629583,0.11725087114214452,0.002226760880724062,0.11272937475567416,0.29606295941907146,0.08654311577904635,-0.002226760880724062,0.11272937475567416,0.5299867086747982,286.59781636450145,0.13700269210731136,11.74237771907411,317.634552578754,0.13483092324733506,11.970826212392359,0.15625,urban
201607,0.255477282256608,0.11142023678800886,0.0031880481174429015,0.12003621880160842,0.26230414335235547,0.0849284555667715,-0.0031880481174429015,0.12003621880160842,0.5587140444341211,349.1243888153203,0.1327610003635064,11.47985428966799,360.29541664308925,0.12400912133868211,12.129679894153119,0.0,urban
201608,0.14632298759975482,0.03193582405356064,-0.17044233052487967,0.0370658679996928,-0.024894793620966277,0.028253688848069006,0.17044233052487967,0.0370658679996928,7.27325336700328e-05,287.7968096188519,0.2571181607941091,9.112151679029452,213.79788471918968,0.2766816905415752,9.872388725677906,2.0,semi
201609,0.14632298759975482,0.03193582405356064,-0.17044233052487967,0.0370658679996928,-0.024894793620966277,0.028253688848069006,0.17044233052487967,0.0370658679996928,7.27325336700328e-05,287.7968096188519,0.2571181607941091,9.112151679029452,213.79788471918968,0.2766816905415752,9.872388725677906,2.0,semi
201610,0.162434233240425,0.11066997886915211,-0.06569821573204772,0.12339813416407408,0.09947169808661384,0.15473790916223626,0.06569821573204772,0.12339813416407408,0.3472099011935391,235.7800041460604,0.1718594534583372,11.314681843286776,259.2177110337241,0.151932444468202,11.885400834352305,0.0625,urban
201611,0.07655083734201933,0.01454047660931937,-0.07977298339175462,0.021808977372672383,-0.0032726236467890144,0.02653334392679801,0.07977298339175462,0.021808977372672383,0.009684730560320166,234.79200204912772,0.24879516526911774,10.156477327355603,140.97015024289462,0.3174229243941289,10.128301611119015,2.0,semi
201612,0.07655083734201933,0.01454047660931937,-0.07977298339175462,0.021808977372672383,-0.0032726236467890144,0.02653334392679801,0.07977298339175462,0.021808977372672383,0.009684730560320166,234.79200204912772,0.24879516526911774,10.156477327355603,140.97015024289462,0.3174229243941289,10.128301611119015,2.0,semi
201613,0.07655083734201933,0.01454047660931937,-0.07977298339175462,0.021808977372672383,-0.0032726236467890144,0.02653334392679801,0.07977298339175462,0.021808977372672383,0.009684730560320166,234.79200204912772,0.24879516526911774,10.156477327355603,140.97015024289462,0.3174229243941289,10.128301611119015,2.0,semi
201614,0.011150553216328319,0.00975755988362002,-0.09866678887399956,0.025395199165122506,-0.08759262455977591,0.02825283587560026,0.09866678887399956,0.025395199165122506,0.0023690993067466983,373.95748156850533,0.3310267713165946,8.68093356180128,117.03165142920288,0.2826529843714036,10.706965577300087,1.96875,semi
