grid_id,date,ndvi_mean,ndvi_std,ndbi_mean,ndbi_std,bu_mean,bu_std,ndwi_mean,ndwi_std,built_frac,ndvi_contrast,ndvi_homogeneity,ndvi_entropy,ndbi_contrast,ndbi_homogeneity,ndbi_entropy,DoU_cluster,DoU_label
0,2018-08-19,0.5106080574726378,0.1204539213447383,-0.154962580607744,0.1194339116572522,0.3918295346662179,0.0639249922539102,0.154962580607744,0.1194339116572522,0.1264646464646464,257.55422916028976,0.1268311652626546,11.503442603767208,224.91857973676156,0.1091998990440037,11.971374415248404,0,urban
1,2018-08-19,0.5631611758183777,0.0767837075937382,-0.2074412706663912,0.0904355840982161,0.4050751441836029,0.0468386410398553,0.2074412706663912,0.0904355840982161,0.0413131313131313,92.37720640750943,0.1968802726905147,10.047932233535832,218.06478930721352,0.1202198352127612,11.557789019230588,0,urban
2,2018-08-19,0.550343362112559,0.0957773051095944,-0.182430829616053,0.096730113753738,0.413300061128897,0.0511010495282752,0.182430829616053,0.096730113753738,0.0525252525252525,385.6869707172737,0.1222049536177589,11.474196841525902,333.5701459034792,0.1006002852599912,12.18321750929699,0,urban
3,2018-08-19,0.5366580265259303,0.1005264516181583,-0.1866698092426613,0.0850778380378026,0.3932698733453995,0.0635208569829992,0.1866698092426613,0.0850778380378026,0.0413131313131313,349.03326191204974,0.1612565621284091,11.28067586436894,290.1063156820733,0.1265094996338067,12.090005858317747,0,urban
4,2018-08-19,0.5210830532203659,0.0980275377854765,-0.1940497003359175,0.094482309828759,0.3676002422158086,0.0594189851040537,0.1940497003359175,0.094482309828759,0.0521212121212121,448.8919498010408,0.1108911905440937,11.433870339254376,432.8949086827874,0.085533309964874,12.204564821151273,0,urban
5,2018-08-19,0.4370115349745797,0.1722700383321839,-0.1055984015349361,0.1768541486063062,0.3595546485652321,0.0642746075664888,0.1055984015349361,0.1768541486063062,0.2692929292929293,601.6227935924907,0.101203831416653,12.299790785344308,459.4720946842159,0.0942915037433944,12.524682645405973,0,urban
6,2018-08-19,0.5864932777770366,0.0668520876109363,-0.2299631790825906,0.0711166410902335,0.4143150311378596,0.0411389268035634,0.2299631790825906,0.0711166410902335,0.0174747474747474,113.27538006325884,0.1574032566500641,10.539049205696404,216.69441893684316,0.1011574436120573,11.611228398575582,0,urban
7,2018-08-19,0.6034975435391399,0.045094567879707,-0.2443432716178793,0.0602979792508268,0.4221273629035444,0.0376228489668311,0.2443432716178793,0.0602979792508268,0.0,260.4802744425386,0.1111737568029376,11.130929502276128,590.4341528492471,0.080487476589729,12.316806519205414,0,urban
8,2018-08-19,0.4366253233225526,0.1748049469048475,-0.0987502038043814,0.1295892251239715,0.3637581847281159,0.0960300745544797,0.0987502038043814,0.1295892251239715,0.2538383838383838,487.8383838383839,0.1472794125077248,11.941917888765266,326.6631976328946,0.138349531275301,12.246410149889993,0,urban
9,2018-08-19,0.4284278815659926,0.1878769650255859,-0.0739284876502486,0.1627860792114155,0.3799184992662389,0.0834404079901375,0.0739284876502486,0.1627860792114155,0.2894949494949494,646.4235282114071,0.1188052762524218,12.23325211125054,485.0369350066319,0.1059793777929697,12.66756517598678,0,urban
